id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_sanitasi_layak,satuan,tahun
24,32,JAWA BARAT,3276,KOTA DEPOK,73.6,PERSEN,2014
25,32,JAWA BARAT,3277,KOTA CIMAHI,45.41,PERSEN,2014
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,29.72,PERSEN,2014
27,32,JAWA BARAT,3279,KOTA BANJAR,72.09,PERSEN,2014
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,69.58,PERSEN,2015
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,52.94,PERSEN,2015
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45.36,PERSEN,2015
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64.99,PERSEN,2015
32,32,JAWA BARAT,3205,KABUPATEN GARUT,66.75,PERSEN,2015
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.48,PERSEN,2015
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17.92,PERSEN,2015
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86.45,PERSEN,2015
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,65.97,PERSEN,2015
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,62.42,PERSEN,2015
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,87.79,PERSEN,2015
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65.31,PERSEN,2015
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,83.1,PERSEN,2015
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.36,PERSEN,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,87.74,PERSEN,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,56.09,PERSEN,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.55,PERSEN,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,49.83,PERSEN,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,70.81,PERSEN,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,46.16,PERSEN,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,70.91,PERSEN,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,93.75,PERSEN,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,83.9,PERSEN,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,73.49,PERSEN,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,52.96,PERSEN,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,35.6,PERSEN,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,82.44,PERSEN,2015
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,72.08,PERSEN,2016
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,54.78,PERSEN,2016
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61.45,PERSEN,2016
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70.2,PERSEN,2016
59,32,JAWA BARAT,3205,KABUPATEN GARUT,69.71,PERSEN,2016
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60.81,PERSEN,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.39,PERSEN,2016
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.49,PERSEN,2016
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,61.27,PERSEN,2016
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64.39,PERSEN,2016
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,89.93,PERSEN,2016
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71.15,PERSEN,2016
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,83.43,PERSEN,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,74.97,PERSEN,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50.2,PERSEN,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,69.9,PERSEN,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,82,PERSEN,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,47.37,PERSEN,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,66.16,PERSEN,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,45.26,PERSEN,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,59.41,PERSEN,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,89.63,PERSEN,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,86.45,PERSEN,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,79.78,PERSEN,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,69.95,PERSEN,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,40.05,PERSEN,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,78.35,PERSEN,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.44,PERSEN,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55.86,PERSEN,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63.83,PERSEN,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.21,PERSEN,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,70.66,PERSEN,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55.29,PERSEN,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.86,PERSEN,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86.08,PERSEN,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,62.34,PERSEN,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60.73,PERSEN,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,88.33,PERSEN,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,75.4,PERSEN,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,85.17,PERSEN,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.22,PERSEN,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44.71,PERSEN,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,60.44,PERSEN,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.99,PERSEN,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,58.35,PERSEN,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,65.68,PERSEN,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,51.68,PERSEN,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,71.84,PERSEN,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,93.39,PERSEN,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,97.26,PERSEN,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,84.22,PERSEN,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,70.31,PERSEN,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52.91,PERSEN,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,80.36,PERSEN,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,73.96,PERSEN,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.36,PERSEN,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.03,PERSEN,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,75.1,PERSEN,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,76.09,PERSEN,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60.46,PERSEN,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,59.46,PERSEN,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,85.58,PERSEN,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,24.82,PERSEN,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67.29,PERSEN,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,94.32,PERSEN,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.54,PERSEN,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,90.01,PERSEN,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.68,PERSEN,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,48.43,PERSEN,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,83.56,PERSEN,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,81.69,PERSEN,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,55.21,PERSEN,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,72.73,PERSEN,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,48.45,PERSEN,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,74.35,PERSEN,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,90.32,PERSEN,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,98.72,PERSEN,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,87.93,PERSEN,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,72.11,PERSEN,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PERSEN,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,71.82,PERSEN,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,56,PERSEN,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69,PERSEN,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,62,PERSEN,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,80,PERSEN,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,PERSEN,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,81,PERSEN,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,76,PERSEN,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,83,PERSEN,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,69,PERSEN,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77,PERSEN,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,95,PERSEN,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,80,PERSEN,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,90,PERSEN,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78,PERSEN,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78,PERSEN,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,88,PERSEN,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,74,PERSEN,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77,PERSEN,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,74,PERSEN,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,152,PERSEN,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,64,PERSEN,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,94,PERSEN,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,99,PERSEN,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,173,PERSEN,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,80,PERSEN,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52,PERSEN,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,47,PERSEN,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,62.4,PERSEN,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,82.9,PERSEN,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,83.2,PERSEN,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,75.5,PERSEN,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,31.1,PERSEN,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,91.4,PERSEN,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,91.3,PERSEN,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,83.9,PERSEN,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,61.5,PERSEN,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,78.8,PERSEN,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,95.2,PERSEN,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,98.8,PERSEN,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,93.2,PERSEN,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,85.3,PERSEN,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46.8,PERSEN,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,88,PERSEN,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,96.4,PERSEN,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,84.6,PERSEN,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,76.5,PERSEN,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,56.1,PERSEN,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,68,PERSEN,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,94.9,PERSEN,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,81.1,PERSEN,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,92,PERSEN,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,84.9,PERSEN,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58.8,PERSEN,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,85.2,PERSEN,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,74.45,PERSEN,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,99.72,PERSEN,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,92.89,PERSEN,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,90.3,PERSEN,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,96.65,PERSEN,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,79.26,PERSEN,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,85.51,PERSEN,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,90.11,PERSEN,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,91.32,PERSEN,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,88.84,PERSEN,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,95.84,PERSEN,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,82.06,PERSEN,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,100,PERSEN,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,94.45,PERSEN,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,43.9,PERSEN,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,91.33,PERSEN,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,100,PERSEN,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,88.34,PERSEN,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,76.33,PERSEN,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,83.2,PERSEN,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,78.49,PERSEN,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,97.49,PERSEN,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,99.3,PERSEN,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,90.29,PERSEN,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,80.91,PERSEN,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,57.86,PERSEN,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,97.97,PERSEN,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,68.6,PERSEN,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,100,PERSEN,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,92.89,PERSEN,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,100,PERSEN,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,93.47,PERSEN,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,89.74,PERSEN,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,83.77,PERSEN,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,95.33,PERSEN,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,91.26,PERSEN,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97.26,PERSEN,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,98.47,PERSEN,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,91.84,PERSEN,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,97.49,PERSEN,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,86.69,PERSEN,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,55.29,PERSEN,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,92.59,PERSEN,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,91.09,PERSEN,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,82.73,PERSEN,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,62.37,PERSEN,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,95.48,PERSEN,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,100,PERSEN,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,86.66,PERSEN,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,93.03,PERSEN,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,99.26,PERSEN,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,83.05,PERSEN,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63.84,PERSEN,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,98.98,PERSEN,2022
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,68.41,PERSEN,2023
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,100,PERSEN,2023
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,68.71,PERSEN,2023
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,99.74,PERSEN,2023
248,32,JAWA BARAT,3205,KABUPATEN GARUT,88.94,PERSEN,2023
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,64.47,PERSEN,2023
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,92.94,PERSEN,2023
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,94.62,PERSEN,2023
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,95.59,PERSEN,2023
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,98.72,PERSEN,2023
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,98.62,PERSEN,2023
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,96,PERSEN,2023
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,100,PERSEN,2023
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,63.14,PERSEN,2023
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59.81,PERSEN,2023
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,92.28,PERSEN,2023
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,92.82,PERSEN,2023
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,100,PERSEN,2023
262,32,JAWA BARAT,3271,KOTA BOGOR,67.45,PERSEN,2023
263,32,JAWA BARAT,3272,KOTA SUKABUMI,95.53,PERSEN,2023
264,32,JAWA BARAT,3273,KOTA BANDUNG,100,PERSEN,2023
265,32,JAWA BARAT,3274,KOTA CIREBON,99.18,PERSEN,2023
266,32,JAWA BARAT,3275,KOTA BEKASI,96.29,PERSEN,2023
267,32,JAWA BARAT,3276,KOTA DEPOK,99.09,PERSEN,2023
268,32,JAWA BARAT,3277,KOTA CIMAHI,74.96,PERSEN,2023
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,29.66,PERSEN,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,86.95,PERSEN,2023
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,"88,77",PERSEN,2024
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,100,PERSEN,2024
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,"69,99",PERSEN,2024
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,"96,79",PERSEN,2024
275,32,JAWA BARAT,3205,KABUPATEN GARUT,"91,34",PERSEN,2024
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,"75,62",PERSEN,2024
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,"95,16",PERSEN,2024
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,"96,34",PERSEN,2024
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,"96,24",PERSEN,2024
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,"98,11",PERSEN,2024
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,"98,99",PERSEN,2024
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,"97,96",PERSEN,2024
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,100,PERSEN,2024
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,"95,78",PERSEN,2024
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,"77,53",PERSEN,2024
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,"97,00",PERSEN,2024
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,"94,91",PERSEN,2024
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,100,PERSEN,2024
289,32,JAWA BARAT,3271,KOTA BOGOR,"72,93",PERSEN,2024
290,32,JAWA BARAT,3272,KOTA SUKABUMI,"95,53",PERSEN,2024
291,32,JAWA BARAT,3273,KOTA BANDUNG,"69,46",PERSEN,2024
292,32,JAWA BARAT,3274,KOTA CIREBON,"95,38",PERSEN,2024
293,32,JAWA BARAT,3275,KOTA BEKASI,"99,62",PERSEN,2024
294,32,JAWA BARAT,3276,KOTA DEPOK,"99,46",PERSEN,2024
295,32,JAWA BARAT,3277,KOTA CIMAHI,"78,58",PERSEN,2024
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,"34,56",PERSEN,2024
297,32,JAWA BARAT,3279,KOTA BANJAR,"99,11",PERSEN,2024
